Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;RT-21;90:F6:52:A9:5F:26;;1;No;WPA2,WPA,AES-CCM;No;135.0;0;19;0;0;0;0;0;;;Thu Aug  8 00:49:51 2024;Thu Aug  8 00:50:02 2024;-28;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Rostelecom_21;04:B0:E7:20:8F:EC;;11;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;11;0;0;0;0;0;;;Thu Aug  8 00:49:53 2024;Thu Aug  8 00:50:01 2024;-18;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
